XBB,SPY
20.91,106.81
21.04,106.94
20.99,106.72
20.95,106.92
20.98,106.3
20.95,106.23
20.91,106.51
20.96,106.61
20.98,107.33
20.99,107.75
20.93,107.44
20.89,107.1
20.92,106.55
20.95,106.65
20.97,106.82
21.02,107.38
21.06,107.44
21.07,106.34
21.04,106.58
21.07,106.1
21.12,105.53
21.19,107.38
21.18,107.89
21.19,107.96
21.16,108.86
21.19,109.14
21.22,109.25
21.18,109.6
21.14,109.16
21.12,109.06
21.09,108.77
21.05,108.33
21.1,108.75
21.16,106.77
21.19,107.15
21.22,107.26
21.17,107.35
21.16,107.94
21.14,108.94
21.13,108.86
21.06,108.06
21.03,108.82
21.03,107.55
21,107.02
21,107.3
20.97,106.35
20.99,107.32
20.96,107.14
20.99,107.33
20.98,107.14
20.96,108.27
20.88,108.66
20.99,109.47
20.96,109.17
20.93,108.9
20.93,109.56
20.95,109.4
21.03,109.68
21.05,109.72
21.07,108.68
21.07,109.65
21.09,109.64
21.06,109.13
21.07,108.63
21.07,108.46
21.07,108.69
21.02,107.96
20.96,108.99
20.94,109.19
20.95,110.33
20.98,110.83
21,111.05
20.98,111.15
20.97,110.97
21.06,110.27
21.03,110.94
21.15,110.71
21.11,110.8
21.12,110.64
21.1,109.96
21.07,110.65
21.08,110.45
21.12,110.47
21.11,110.39
21.04,111.1
20.96,111.48
20.96,111.36
21,110.23
20.92,110.4
20.9,109.46
20.93,109.67
20.86,109.52
20.71,109.48
20.78,111.22
20.83,111.43
20.81,111.58
20.78,111.6
20.79,111.39
20.82,110.93
20.71,110.96
20.71,111.5
20.79,111.87
20.81,110.96
20.69,111.79
20.65,111.38
20.74,111.78
20.78,112.76
20.69,112.63
20.75,112.85
20.77,112.79
20.82,111.43
20.82,109.97
20.81,110.19
20.83,110.03
20.78,107.94
20.84,107.39
20.84,108.15
20.89,107.33
20.96,106.51
20.93,107.36
21.03,108.69
20.99,109.24
21.01,107.3
21.01,108.5
21.06,109.54
21.03,109.77
21.06,108.17
20.99,107.91
20.86,107.1
20.96,107
21.04,106.66
21,105.51
21.07,104.28
21.04,105.09
21.04,107.32
20.98,106.54
20.96,105.7
21.05,106.06
20.98,106.84
20.92,106.37
20.99,106.36
20.92,106.83
20.85,105.9
20.8,106.62
20.76,108.78
20.73,108.78
20.67,109.23
20.71,108.6
20.66,108.92
20.72,108.21
20.75,108.42
20.69,108.89
20.7,107.73
20.72,105.98
20.86,105.57
20.91,105.42
20.95,105.95
20.93,107.42
20.96,106.69
21,105.94
21.01,107.87
20.87,108.25
20.99,108.4
21.03,108.3
21.08,109.38
21.08,109.27
21.06,108.73
21.08,109.47
21.05,109.76
21.14,109.57
21.19,109.31
21.19,108.89
21.17,108.53
21.18,108.86
21.22,108.55
21.2,108.64
21.18,109.94
21.23,110.85
21.19,111.13
21.11,111.7
21.23,111.22
21.25,111.21
21.3,110.9
21.38,110.81
21.37,110.95
21.37,111.48
21.35,111.6
21.4,111.67
21.45,111.66
21.44,112.32
21.45,112.54
21.5,111.54
21.57,111.03
21.6,111.35
21.53,111.46
21.47,112.55
21.54,113.01
21.57,113.01
21.53,113.28
21.57,113.43
21.56,113.15
21.56,113.75
21.59,113.2
21.58,112.86
21.62,113.73
21.65,114.67
21.7,114.81
21.76,114.76
21.85,114.67
21.76,114.24
21.76,114.48
21.77,115.82
21.75,116.04
21.76,115.9
21.8,115.97
21.82,116.12
21.79,115.98
21.7,116.99
21.65,117.29
21.61,117.47
21.61,117.1
21.53,117.25
21.56,117.44
21.6,117.47
21.59,118.01
21.58,118.36
21.54,118.77
21.53,119.13
21.56,118.39
21.56,118.3
21.7,118.28
21.76,117.49
21.76,117.42
21.84,117.21
21.89,118.53
21.85,118.99
21.73,119.25
21.73,118.62
21.83,118.67
21.82,118.96
21.82,119.86
21.85,120.2
21.88,120.51
21.89,120.54
21.84,120.61
21.85,120.73
21.88,120.97
21.9,120.48
21.91,118.83
21.94,119.34
21.92,120.58
21.92,120.64
21.94,120.37
22.02,121.29
21.98,121.81
22.07,121.71
22.11,121.18
22.12,121.4
22.12,121.75
22.09,121.66
22.09,121.79
22.05,122.86
22.04,122.87
22.07,122.53
22,122.77
21.97,122.7
21.97,122.25
21.86,121.5
21.94,122.21
21.95,123.02
22.01,122.76
22,122.25
21.89,122.03
21.88,122.29
21.86,121.32
21.93,121.88
21.94,121.77
22.03,122.18
21.99,122.72
21.96,123.65
21.97,123.41
21.91,123.46
21.89,123.04
21.88,123.29
21.9,122.91
21.85,123.27
21.82,124.26
21.9,122.8
21.89,122.69
21.86,122.62
21.84,123.26
21.87,124.09
21.77,124.83
21.78,125
21.8,125.04
21.79,125.07
21.82,125.35
21.85,125.18
21.86,124.25
21.9,123.83
21.93,124.87
21.95,125.69
22,125.86
21.91,125.8
21.85,126.06
21.82,126.01
21.9,125.92
21.93,125.43
21.99,125.31
22.01,120.42
21.99,121.65
22.03,121.29
21.94,119.7
22.03,118.56
22.09,120.59
22.18,120.47
22.14,121.49
22.14,121.52
22.17,121.71
22.18,119.34
22.18,120.23
22.18,120.39
22.21,120.06
22.14,121.5
22.14,122.17
22.21,124.18
22.18,124.09
22.18,124.27
22.18,124.1
22.13,123.81
22.09,122.91
22.07,123.04
22.05,123.06
22.06,123.2
22.06,124.53
22.09,124.67
22.07,125.01
22.05,125.18
22.04,125.33
22.03,124.81
22.05,125.37
22.04,125.94
22.07,127.14
22.01,127.47
22.03,127.63
22,127.6
22,128.8
21.95,128.32
21.95,128.37
21.94,129.55
21.97,129.69
21.95,129.59
21.97,128.51
21.95,128.84
22.03,129.6
22.03,130.3
21.95,130.79
21.95,130.82
22.05,130.65
22,131
21.98,129.63
21.93,130.74
21.97,130.46
21.95,130.49
22.01,131.38
22,131.12
22,132.27
21.99,132.2
21.98,132.09
21.99,132.11
21.99,130.92
21.93,131.46
21.87,131.94
21.87,133.01
21.81,132.87
21.74,133.53
21.75,133.55
21.72,133.02
21.7,131.59
21.67,129.22
21.69,130.9
21.71,131.12
21.71,129.69
21.71,131.63
21.65,132.48
21.55,133.23
21.52,133.07
21.48,133.4
21.42,131.55
21.4,132.28
21.46,131.04
21.52,130.41
21.53,129.07
21.49,130.91
21.49,130.89
21.53,130.93
21.46,132.12
21.54,132.59
21.51,132.45
21.57,133.15
21.51,133.26
21.6,131.36
21.59,132.29
21.55,134.38
21.44,134.78
21.37,134.76
21.42,134.69
21.62,134.45
21.53,134.97
21.45,133.6
21.51,134.01
21.54,131.69
21.55,131.96
21.54,128.83
21.58,126.3
21.64,128.28
21.59,126.83
21.57,127.45
21.6,128.47
21.67,125.16
21.67,127.26
21.67,128.62
21.66,130.41
21.64,126.54
21.71,125.95
21.72,126.41
21.75,124.47
21.68,122.76
21.67,123.68
21.66,125.95
21.76,125.89
21.78,126.14
21.77,127.64
21.77,127.53
21.8,129.1
21.83,127.9
21.92,125.09
21.84,127.55
21.89,127.21
21.87,128.46
21.88,129.76
22.03,128.63
21.94,128.93
21.92,127.14
21.87,126.89
21.84,128.37
21.91,128.7
21.93,129.61
22.04,129.6
22.06,128.9
21.98,132.7
22,133.48
21.95,132.54
21.98,132.9
22,132.65
21.96,132.39
21.9,133.09
21.81,133.88
21.86,133.43
21.87,134.94
21.92,134.75
21.88,134.48
21.89,134.69
22.02,136.29
22.01,135.57
22.03,136.84
22,136.62
22.05,135.96
21.92,136.71
21.89,135.56
21.91,134.48
21.9,134.89
21.85,134.4
21.85,130.89
21.9,131.65
21.96,132.72
22.03,132.47
22.06,132.79
22.07,134.34
22.07,134.79
22.1,133.85
22.11,135.24
22.12,132.08
22.13,132.23
22.14,131.22
22.14,132.99
22.18,129.35
22.18,128.69
22.18,126.93
22.11,125.67
22.21,129.5
22.17,129.14
22.25,127.28
